rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.26143804,9.6175,9.6175,price_action,True
2,1d_returns_1_zscore,0.23664050,8.7053,18.3228,momentum,True
3,1d_high_low_range_zscore,0.09864461,3.6288,21.9516,volatility,True
4,rsi_14_zscore,0.06824101,2.5104,24.4620,momentum,True
5,4h_close_position_zscore,0.05869134,2.1591,26.6211,price_action,True
6,returns_20_zscore,0.05110382,1.8800,28.5010,momentum,True
7,1d_rsi_14_zscore,0.05092262,1.8733,30.3743,momentum,True
8,obv_log_zscore,0.05046813,1.8566,32.2309,volume,True
9,bb_pctb_zscore,0.04922177,1.8107,34.0416,volatility,True
10,corr_btc_20_zscore,0.04208109,1.5480,35.5896,cross_asset,True
11,4h_structure_trend_zscore,0.03990988,1.4682,37.0578,structure,True
12,macd_zscore,0.03863060,1.4211,38.4789,trend,True
13,obv,0.03826220,1.4075,39.8864,volume,True
14,returns_5_zscore,0.03755783,1.3816,41.2681,momentum,True
15,1d_vwap_distance_zscore,0.03705506,1.3631,42.6312,volume,True
16,1d_vwap_z_score_zscore,0.03547953,1.3052,43.9364,volume,True
17,returns_1_zscore,0.03483832,1.2816,45.2180,momentum,True
18,macd_histogram_zscore,0.03440877,1.2658,46.4838,trend,True
19,vwap_distance_zscore,0.03348593,1.2318,47.7156,volume,True
20,plus_di_zscore,0.02953475,1.0865,48.8021,trend,True
21,1d_macd_histogram_zscore,0.02728338,1.0037,49.8058,trend,True
22,dow_sin_zscore,0.02627149,0.9664,50.7722,session,True
23,hour_cos_zscore,0.02582698,0.9501,51.7223,session,True
24,vwap_z_score_zscore,0.02557256,0.9407,52.6630,volume,True
25,4h_returns_1_zscore,0.02521443,0.9276,53.5906,momentum,True
26,close_position_zscore,0.02491801,0.9167,54.5073,price_action,True
27,4h_high_low_range_zscore,0.02354765,0.8662,55.3735,volatility,True
28,atr_ratio_zscore,0.02306379,0.8484,56.2220,volatility,True
29,4h_vwap_z_score_zscore,0.02143847,0.7887,57.0106,volume,True
30,ema_cross_8_21_zscore,0.02050365,0.7543,57.7649,trend,True
31,bb_width_zscore,0.02030409,0.7469,58.5118,volatility,True
32,1d_plus_di_zscore,0.02019174,0.7428,59.2546,trend,True
33,1d_atr_ratio_zscore,0.02003470,0.7370,59.9916,volatility,True
34,adx_zscore,0.01976467,0.7271,60.7187,trend,True
35,1d_bb_upper_zscore,0.01904982,0.7008,61.4195,volatility,True
36,1d_bb_pctb_zscore,0.01883424,0.6929,62.1123,volatility,True
37,1d_hvol_20_zscore,0.01797325,0.6612,62.7735,volatility,True
38,hvol_20_zscore,0.01761617,0.6480,63.4216,volatility,True
39,4h_atr_ratio_zscore,0.01708792,0.6286,64.0502,volatility,True
40,squeeze_momentum_zscore,0.01684490,0.6197,64.6698,volatility,True
41,4h_vwap_sd_zscore,0.01559988,0.5739,65.2437,volatility,True
42,4h_bb_width_zscore,0.01541806,0.5672,65.8109,volatility,True
43,1d_obv_zscore,0.01516167,0.5578,66.3686,volume,True
44,dow_cos_zscore,0.01512970,0.5566,66.9252,session,True
45,4h_hour_cos_zscore,0.01429062,0.5257,67.4509,session,True
46,structure_trend_zscore,0.01416741,0.5212,67.9721,structure,True
47,4h_volume_sma_ratio,0.01394679,0.5131,68.4852,volume,True
48,sector_dispersion_12_zscore,0.01382795,0.5087,68.9938,cross_asset,True
49,vwap_lower_20_zscore,0.01370460,0.5041,69.4980,volume,True
