rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.22609037,5.4708,5.4708,momentum,True
2,4h_close_position_zscore,0.18823765,4.5548,10.0256,price_action,True
3,1d_close_position_zscore,0.12652682,3.0616,13.0872,price_action,True
4,returns_1_zscore,0.12111779,2.9307,16.0180,momentum,True
5,bb_pctb_zscore,0.10264332,2.4837,18.5017,volatility,True
6,4h_returns_1_zscore,0.07781667,1.8830,20.3846,momentum,True
7,vwap_distance_zscore,0.07174076,1.7359,22.1206,volume,True
8,4h_high_low_range_zscore,0.07092506,1.7162,23.8368,volatility,True
9,rsi_14_zscore,0.06444847,1.5595,25.3962,momentum,True
10,plus_di_zscore,0.06338287,1.5337,26.9299,trend,True
11,1d_high_low_range_zscore,0.06262858,1.5154,28.4454,volatility,True
12,1d_rsi_14_zscore,0.06184402,1.4965,29.9418,momentum,True
13,returns_5_zscore,0.06135019,1.4845,31.4263,momentum,True
14,macd_zscore,0.06118141,1.4804,32.9068,trend,True
15,hour_cos_zscore,0.06086412,1.4727,34.3795,session,True
16,close_position_zscore,0.05626303,1.3614,35.7409,price_action,True
17,bb_width_zscore,0.05610595,1.3576,37.0986,volatility,True
18,4h_hour_sin_zscore,0.05479392,1.3259,38.4244,session,True
19,1d_vwap_distance_zscore,0.05438388,1.3159,39.7404,volume,True
20,minus_di_zscore,0.04580142,1.1083,40.8486,trend,True
21,1d_minus_di_zscore,0.04513566,1.0922,41.9408,trend,True
22,ema_8_zscore,0.04392467,1.0629,43.0037,trend,True
23,lead_gbp_lag1_zscore,0.04377827,1.0593,44.0630,cross_asset,True
24,returns_20_zscore,0.04289622,1.0380,45.1010,momentum,True
25,1d_obv_zscore,0.04185503,1.0128,46.1137,volume,True
26,atr_14_zscore,0.04141805,1.0022,47.1159,volatility,True
27,hvol_20_zscore,0.04052045,0.9805,48.0964,volatility,True
28,vwap_z_score_zscore,0.03909809,0.9461,49.0425,volume,True
29,hour_sin_zscore,0.03875376,0.9377,49.9802,session,True
30,4h_returns_5_zscore,0.03838692,0.9289,50.9091,momentum,True
31,4h_structure_trend_zscore,0.03819260,0.9242,51.8333,structure,True
32,macd_histogram_zscore,0.03705740,0.8967,52.7299,trend,True
33,1d_plus_di_zscore,0.03680688,0.8906,53.6206,trend,True
34,4h_bos_signal_zscore,0.03573664,0.8647,54.4853,structure,True
35,4h_bb_pctb_zscore,0.03423975,0.8285,55.3138,volatility,True
36,bos_signal_zscore,0.03385131,0.8191,56.1329,structure,True
37,4h_stoch_rsi_k_zscore,0.03174485,0.7681,56.9011,momentum,True
38,structure_trend_zscore,0.03142096,0.7603,57.6614,structure,True
39,1d_vwap_z_score_zscore,0.03138028,0.7593,58.4207,volume,True
40,4h_minus_di_zscore,0.03022152,0.7313,59.1520,trend,True
41,atr_ratio_zscore,0.02984825,0.7222,59.8742,volatility,True
42,corr_gbp_20_zscore,0.02770465,0.6704,60.5446,cross_asset,True
43,stoch_rsi_k_zscore,0.02754624,0.6665,61.2111,momentum,True
44,corr_jpy_100_zscore,0.02480830,0.6003,61.8114,cross_asset,True
45,1d_stoch_rsi_k_zscore,0.02455925,0.5943,62.4057,momentum,True
46,volume_sma_ratio,0.02447075,0.5921,62.9978,volume,True
47,4h_hour_cos_zscore,0.02418093,0.5851,63.5829,session,True
48,lead_gbp_lag3_zscore,0.02413118,0.5839,64.1669,cross_asset,True
49,4h_atr_ratio_zscore,0.02401305,0.5811,64.7479,volatility,True
50,lead_jpy_lag1_zscore,0.02358163,0.5706,65.3185,cross_asset,True
51,corr_jpy_20_zscore,0.02313992,0.5599,65.8784,cross_asset,True
52,high_low_range_zscore,0.02310704,0.5591,66.4376,volatility,True
53,1d_returns_20_zscore,0.02306483,0.5581,66.9957,momentum,True
54,vwap_sd_zscore,0.02230866,0.5398,67.5355,volatility,True
55,sector_momentum_12_zscore,0.02187323,0.5293,68.0648,cross_asset,True
56,4h_volume_sma_ratio,0.02163730,0.5236,68.5883,volume,True
57,4h_bb_width_zscore,0.02117122,0.5123,69.1006,volatility,True
58,4h_volume_sma_ratio_log_zscore,0.02038356,0.4932,69.5938,volume,True
59,stoch_rsi_d_zscore,0.02032800,0.4919,70.0857,momentum,True
60,1d_bb_pctb_zscore,0.02028998,0.4910,70.5767,volatility,True
61,1d_vwap_upper_10_zscore,0.02012420,0.4870,71.0636,volume,True
62,lead_gbp_lag6_zscore,0.02005968,0.4854,71.5490,cross_asset,True
63,obv_log_zscore,0.01992808,0.4822,72.0312,volume,True
64,obv,0.01984988,0.4803,72.5116,volume,True
65,1d_hvol_20_zscore,0.01957845,0.4737,72.9853,volatility,True
66,4h_macd_histogram_zscore,0.01946279,0.4709,73.4562,trend,True
67,4h_vwap_z_score_zscore,0.01936162,0.4685,73.9247,volume,True
68,1d_bb_squeeze_duration_zscore,0.01935964,0.4685,74.3932,volatility,True
69,sector_dispersion_12_zscore,0.01920657,0.4647,74.8579,cross_asset,True
70,adx_zscore,0.01855081,0.4489,75.3068,trend,True
71,4h_plus_di_zscore,0.01845594,0.4466,75.7534,trend,True
72,1d_volume_sma_ratio_log_zscore,0.01831617,0.4432,76.1966,volume,True
73,vwap_lower_30_zscore,0.01830552,0.4429,76.6396,volume,True
74,1d_returns_5_zscore,0.01822378,0.4410,77.0805,momentum,True
75,4h_adx_zscore,0.01752979,0.4242,77.5047,trend,True
76,4h_rsi_14_zscore,0.01746693,0.4227,77.9274,momentum,True
77,macd_signal_zscore,0.01733750,0.4195,78.3469,trend,True
78,1d_vwap_rolling_zscore,0.01719657,0.4161,78.7630,volume,True
79,squeeze_on_zscore,0.01713888,0.4147,79.1777,volatility,True
80,1d_dow_sin_zscore,0.01711065,0.4140,79.5917,session,True
81,squeeze_momentum_zscore,0.01678001,0.4060,79.9978,volatility,True
82,lead_jpy_lag3_zscore,0.01584624,0.3834,80.3812,cross_asset,True
83,4h_stoch_rsi_d_zscore,0.01574062,0.3809,80.7621,momentum,True
84,1d_kc_upper_zscore,0.01552677,0.3757,81.1378,volatility,True
