rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.24479862,5.1650,5.1650,price_action,True
2,returns_1_zscore,0.20951283,4.4205,9.5854,momentum,True
3,4h_close_position_zscore,0.17549378,3.7027,13.2882,price_action,True
4,4h_returns_1_zscore,0.13872677,2.9270,16.2151,momentum,True
5,vwap_distance_zscore,0.12755994,2.6914,18.9065,volume,True
6,vwap_z_score_zscore,0.12019986,2.5361,21.4426,volume,True
7,rsi_14_zscore,0.10894500,2.2986,23.7412,momentum,True
8,1d_bb_pctb_zscore,0.09548545,2.0146,25.7558,volatility,True
9,1d_vwap_distance_zscore,0.09252115,1.9521,27.7079,volume,True
10,4h_high_low_range_zscore,0.08976927,1.8940,29.6020,volatility,True
11,bb_pctb_zscore,0.08526391,1.7990,31.4009,volatility,True
12,hour_sin_zscore,0.08290365,1.7492,33.1501,session,True
13,obv,0.08277071,1.7464,34.8965,volume,True
14,4h_returns_5_zscore,0.08266758,1.7442,36.6407,momentum,True
15,1d_high_low_range_zscore,0.07725254,1.6299,38.2706,volatility,True
16,1d_obv_zscore,0.07509624,1.5844,39.8550,volume,True
17,4h_bb_pctb_zscore,0.07418368,1.5652,41.4202,volatility,True
18,volume_sma_ratio,0.07373513,1.5557,42.9760,volume,True
19,minus_di_zscore,0.07113860,1.5009,44.4769,trend,True
20,1d_rsi_14_zscore,0.06732496,1.4205,45.8974,momentum,True
21,returns_20_zscore,0.06575505,1.3874,47.2847,momentum,True
22,1d_returns_1_zscore,0.06557994,1.3837,48.6684,momentum,True
23,returns_5_zscore,0.05966723,1.2589,49.9273,momentum,True
24,squeeze_momentum_zscore,0.05678992,1.1982,51.1255,volatility,True
25,hvol_20_zscore,0.05678206,1.1980,52.3235,volatility,True
26,1d_returns_5_zscore,0.05402374,1.1398,53.4634,momentum,True
27,1d_dow_sin_zscore,0.04741979,1.0005,54.4639,session,True
28,adx_zscore,0.04611272,0.9729,55.4368,trend,True
29,atr_14_zscore,0.04534559,0.9567,56.3935,volatility,True
30,macd_zscore,0.04454559,0.9399,57.3334,trend,True
31,4h_hour_sin_zscore,0.04402133,0.9288,58.2622,session,True
32,hour_cos_zscore,0.04368891,0.9218,59.1840,session,True
33,macd_signal_zscore,0.04123945,0.8701,60.0541,trend,True
34,atr_ratio_zscore,0.03856602,0.8137,60.8678,volatility,True
35,bb_width_zscore,0.03595680,0.7586,61.6264,volatility,True
36,plus_di_zscore,0.03582824,0.7559,62.3824,trend,True
37,high_low_range_zscore,0.03445726,0.7270,63.1094,volatility,True
38,close_position_zscore,0.03430434,0.7238,63.8332,price_action,True
39,stoch_rsi_d_zscore,0.03418350,0.7212,64.5544,momentum,True
40,4h_hour_cos_zscore,0.03358210,0.7085,65.2629,session,True
41,vwap_sd_zscore,0.03296387,0.6955,65.9584,volatility,True
42,4h_rsi_divergence_zscore,0.03291368,0.6944,66.6529,momentum,True
43,1d_adx_zscore,0.03222378,0.6799,67.3328,trend,True
44,1d_volume_sma_ratio,0.03218744,0.6791,68.0119,volume,True
45,4h_bos_signal_zscore,0.03165848,0.6680,68.6798,structure,True
46,dow_sin_zscore,0.03115591,0.6574,69.3372,session,True
47,4h_obv_zscore,0.03106813,0.6555,69.9927,volume,True
48,4h_stoch_rsi_k_zscore,0.02971653,0.6270,70.6197,momentum,True
49,volume_sma_ratio_log_zscore,0.02903753,0.6127,71.2323,volume,True
50,4h_minus_di_zscore,0.02786149,0.5878,71.8202,trend,True
51,1d_returns_20_zscore,0.02737382,0.5776,72.3977,momentum,True
52,macd_histogram_zscore,0.02701388,0.5700,72.9677,trend,True
53,1d_atr_14_zscore,0.02671205,0.5636,73.5313,volatility,True
54,squeeze_on_zscore,0.02624097,0.5537,74.0850,volatility,True
55,kc_upper_zscore,0.02475788,0.5224,74.6073,volatility,True
56,4h_volume_sma_ratio_log_zscore,0.02402273,0.5069,75.1142,volume,True
57,1d_stoch_rsi_k_zscore,0.02342988,0.4943,75.6085,momentum,True
58,4h_bb_width_zscore,0.02316069,0.4887,76.0972,volatility,True
59,4h_volume_sma_ratio,0.02257699,0.4763,76.5735,volume,True
60,4h_hvol_20_zscore,0.02234248,0.4714,77.0449,volatility,True
61,ema_8_zscore,0.02229613,0.4704,77.5153,trend,True
62,4h_dow_sin_zscore,0.02195508,0.4632,77.9786,session,True
63,1d_atr_ratio_zscore,0.02176737,0.4593,78.4378,volatility,True
64,vwap_zscore,0.02093814,0.4418,78.8796,volume,True
65,bos_signal_zscore,0.02016469,0.4255,79.3051,structure,True
66,4h_vwap_sd_zscore,0.02015481,0.4252,79.7303,volatility,True
67,1d_macd_zscore,0.01991516,0.4202,80.1505,trend,True
68,1d_volume_sma_ratio_log_zscore,0.01987749,0.4194,80.5699,volume,True
